term,indicator,glossed_as,page,pre_context,post_context
en,of,niet ten minsten met de,#+ NL-HaNA_1.04.02_10012_0226.xml,"zou„ „de worden toegebragt,","niet ten minsten met de delverij moest worden opgehouden, geduurende"
Noorder,of,"reegen mousson, wanneer de Zaaij",#+ NL-HaNA_1.04.02_10012_0226.xml,uit: dat in de,"reegen mousson, wanneer de Zaaij Struijken bloeijen, de wor¬ „telen"
Zuijder,of,"goede mousson moeijlijk valt, om",#+ NL-HaNA_1.04.02_10012_0227.xml,het delven in de,"goede mousson moeijlijk valt, om dat de wo „telen dan"
voorbeelden,of,"ondervinding, gestaand, schoon 'er ongetwijffeld",#+ NL-HaNA_1.04.02_10012_0227.xml,"be„ „wijs gehaald, uit","ondervinding, gestaand, schoon 'er ongetwijffeld hier en daar enkelde laan"
nagaan,of,dit aldaar zulke ongunstige gevolgen,#+ NL-HaNA_1.04.02_10012_0227.xml,"tegaan, hadden behooren telaaten","dit aldaar zulke ongunstige gevolgen gehad heeft, als ze van"
nategaan,of,'er eertijds ooit eenige voorzorge,#+ NL-HaNA_1.04.02_10012_0227.xml,wat daar bij verzuijmt,"'er eertijds ooit eenige voorzorge gebruikt is, om dit werk"
hebben,of,geheel van die „pacht temoogen,#+ NL-HaNA_1.04.02_10012_0231.xml,zijn pachtschat temoo„ „gen,geheel van die „pacht temoogen ontslaagen wor„ „den: zoo hebben
verminderen,of,hum van de pacht te,#+ NL-HaNA_1.04.02_10012_0232.xml,te batti„ opachtschat te,"hum van de pacht te ontslaan, voor eerst de verkoopsprijsen"
rd=s,of,ƒ 108: 10:- het geen,#+ NL-HaNA_1.04.02_10012_0233.xml,„delverij verpacht voor 55.,"ƒ 108: 10:- het geen wel een geringheijd is, doch"
aanschrijvens,of,de klagte van den Trin„,#+ NL-HaNA_1.04.02_10012_0235.xml,naar 11: H: E:,de klagte van den Trin„ konomaalschie vispachi„ ter is het
hebbende,of,het dat door deeze nadere,#+ NL-HaNA_1.04.02_10012_0237.xml,nieuw verpacht „king gegeeven,het dat door deeze nadere schikking de pacht minder waard
maanden,of,van oprimo deezer tot ult=o,#+ NL-HaNA_1.04.02_10012_0238.xml,voor de laatste agt,van oprimo deezer tot ult=o Augustus aanstaande zijnde de proportsie
rd=s,of,ƒ79200. -. §346: 'T zedert,#+ NL-HaNA_1.04.02_10012_0241.xml,hem gemeind voor 40000.,ƒ79200. -. §346: 'T zedert heeft deze waijtelingen: voorsz: zijne
Bengaalse,of,"van noorder kormandel, op kolombo",#+ NL-HaNA_1.04.02_10012_0242.xml,"kargazoen rijst, het zij","van noorder kormandel, op kolombo doet leeve „ren, hij zij"
markt,of,"tegens vast „gestelde prijsen, die",#+ NL-HaNA_1.04.02_10012_0242.xml,de prijs van de,"tegens vast „gestelde prijsen, die men nader kan kon„ „venieeren."
gedwongen,of,bij faute van dien iets,#+ NL-HaNA_1.04.02_10012_0244.xml,het visschen moesten worden,bij faute van dien iets mogt worden af„ „genomen §
oeliammers,of,door de vermindering van het,#+ NL-HaNA_1.04.02_10012_0245.xml,de pacht der absente,"door de vermindering van het ge„ „tal van volk, dat"
„deelen,of,het intrekken der voorsz: pacht,#+ NL-HaNA_1.04.02_10012_0246.xml,maate te kunnen beoor„,het intrekken der voorsz: pacht voor de kompenie voordee „liger
„teleggen,of,het somtijds voor den dienst,#+ NL-HaNA_1.04.02_10012_0247.xml,"'t Tangaalsche Pakhuijs, over„",het somtijds voor den dienst van de kompenie vor¬ „derlijk
singaleesen,of,"andere inge¬ „zeetenen, mits hen",#+ NL-HaNA_1.04.02_10012_0247.xml,"Nelie, wierd gedaan door","andere inge¬ „zeetenen, mits hen daar voor iets wierde toegelegd."
loon,of,"onderhoud te genieten, en dat",#+ NL-HaNA_1.04.02_10012_0250.xml,zonder daar voor eenig,"onderhoud te genieten, en dat het die voor de kompenie"
zedert,of,eigentlijk in A=o 1774. door,#+ NL-HaNA_1.04.02_10012_0252.xml,"Centos stond, dog 't",eigentlijk in A=o 1774. door uwe Hoog Edelheden op 3¾.
min,of,"meer ƒ8000. opgebragt heeft, en",#+ NL-HaNA_1.04.02_10012_0252.xml,6/7. en 177 5/8.,"meer ƒ8000. opgebragt heeft, en Op door Uwe Hoog Edelheeden"
goede,of,slechte verwachting die de opachters,#+ NL-HaNA_1.04.02_10012_0252.xml,"„ven, alleen aan de",slechte verwachting die de opachters hebben op eenen ruimen of
ruimen,of,"schraalen aan„ „breng van graanen,",#+ NL-HaNA_1.04.02_10012_0252.xml,opachters hebben op eenen,"schraalen aan„ „breng van graanen, naar maate van den uitslag"
voortestellen,of,het hoogst dezelven zedert dat,#+ NL-HaNA_1.04.02_10012_0254.xml,uwen Hoog Edelheeden eerbiedig,het hoogst dezelven zedert dat de publicque verpachting van deeze
–.,of,volgens de hier voor S:,#+ NL-HaNA_1.04.02_10012_0255.xml,178 5/8. Rd=s 2500.,volgens de hier voor S: 342:- vermelde reduktsie rd=s 1500:
koernies,of,"8. =parras houd, en op",#+ NL-HaNA_1.04.02_10012_0260.xml,"„nam, die anders 40.","8. =parras houd, en op dien voet is ook de"
parras,of,43 1/15. koernies Nelie in,#+ NL-HaNA_1.04.02_10012_0260.xml,voor elke ammonam 8.,"43 1/15. koernies Nelie in 't dispens moeten verantwoor„ „den,"
Ammonam,of,18. stuivers de Parra„ en,#+ NL-HaNA_1.04.02_10012_0261.xml,tegens drie Rijxdaalders de,18. stuivers de Parra„ en wijl de Maturesche bedienden ons
iets,of,1/15. koernie op de Ammonan,#+ NL-HaNA_1.04.02_10012_0261.xml,", geen kans ziende",1/15. koernie op de Ammonan stallen in contant te om
beproeven,of,de verpachting „ven of de,#+ NL-HaNA_1.04.02_10012_0263.xml,§ 385: Om te,"de verpachting „ven of de verpachting van de Nelie gerechtigheid,"
„ven,of,de verpachting van de Nelie,#+ NL-HaNA_1.04.02_10012_0263.xml,beproeven of de verpachting,"de verpachting van de Nelie gerechtigheid, ook te ook te"
probeeren,of,ze aan ons oogmerk zoude,#+ NL-HaNA_1.04.02_10012_0263.xml,'t eerste Iaar te,"ze aan ons oogmerk zoude vol„ „doen, met order om"
dat,of,"schoon het wel waar is,",#+ NL-HaNA_1.04.02_10012_0264.xml,„sten wierden behandeld; en,"schoon het wel waar is, dat nu aan de komp:s,"
geheel,of,voor een ge„ „deelte van,#+ NL-HaNA_1.04.02_10012_0271.xml,"visch „vangst, in het",voor een ge„ „deelte van zijne schaade niet hadde konnen
„koopen,of,"vervoeren, hem daar door ontegenspreekelijk",#+ NL-HaNA_1.04.02_10012_0275.xml,om 't zout tever,"vervoeren, hem daar door ontegenspreekelijk eene groote scha „de moest"
„paald,of,naar eenige overslag ge„ „schikt,#+ NL-HaNA_1.04.02_10012_0275.xml,„digheeden bezwaarlijk konde be„,"naar eenige overslag ge„ „schikt worden, een afslag te gee„"
worden,of,tezaamen voor rd=s 294: —.,#+ NL-HaNA_1.04.02_10012_0276.xml,rd=s zoude kunnen gereekend,"tezaamen voor rd=s 294: —. - §404: Wij hebben daarop,"
opachtschat,of,rd=s 218: 36. - teremitteeren.,#+ NL-HaNA_1.04.02_10012_0277.xml,ge„ „deelte van zijn,rd=s 218: 36. - teremitteeren. § 405: Op de vertooning
geen,of,ten minsten zeer wij„ „nig,#+ NL-HaNA_1.04.02_10012_0277.xml,"rooverij der voorsz: kaffers,",ten minsten zeer wij„ „nig arreek van de bovenlanden was
pagooden,of,"wat meer tenegotiee„ „ren, al",#+ NL-HaNA_1.04.02_10012_0279.xml,eene somma van 20'000,"wat meer tenegotiee„ „ren, al waare het zelfs tegens 12:"
eng:,of,"1311 363864. maak fijn goud,",#+ NL-HaNA_1.04.02_10012_0282.xml,7. onc: en 7½,"1311 363864. maak fijn goud, en is daar op geprofiteerd"
smits,of,munters pra/o 3 1. -,#+ NL-HaNA_1.04.02_10012_0284.xml,14 1/64. Voor Zilver,munters pra/o 3 1. - „ den schrijven of Braine
schrijven,of,Braine - „ — 2,#+ NL-HaNA_1.04.02_10012_0284.xml,1. - „ den,Braine - „ — 2 — „ „. smelter of
smelter,of,koperslager „ — 1¼. „,#+ NL-HaNA_1.04.02_10012_0284.xml,2 — „ „.,koperslager „ — 1¼. „ 't verlies - - -
—,of,de eerste partij en eerste,#+ NL-HaNA_1.04.02_10012_0285.xml,maaken thois 400 -,de eerste partij en eerste vermunting zijn maaken fijn 307:
—,of,de tweede partij en tweede,#+ NL-HaNA_1.04.02_10012_0285.xml,maaken trois 166. —,de tweede partij en tweede vermunling zijn maaken fijn 127
1/160,of,de derde partij en derde,#+ NL-HaNA_1.04.02_10012_0285.xml,voorschreevene marken trois 294.,de derde partij en derde vermunting zijn marken fijn 266
nuim,of,- - - - -,#+ NL-HaNA_1.04.02_10012_0285.xml,3 7/16. p:r C:,- - - - - - - - - P:r
eng:s,of,27 1/14 74/56. mark fijn,#+ NL-HaNA_1.04.02_10012_0285.xml,oncen en 18. ¾,"27 1/14 74/56. mark fijn goud, waar op gewonnen is"
Trek,of,mark 24: 4. 19. 59883641213/2.,#+ NL-HaNA_1.04.02_10012_0286.xml,r„r 9058. 1 1/16,mark 24: 4. 19. 59883641213/2. Eng:s geraffineerd koper dan wel
8413:--,of,P=r Transport . . .,#+ NL-HaNA_1.04.02_10012_0286.xml,voor rd=s 4250: ƒ,P=r Transport . . . . ƒ 10130. 9. 8.
ruijm,of,- - - - -,#+ NL-HaNA_1.04.02_10012_0286.xml,3 5/8. p=r C=o,- - - - - - - van „ 1.
houders,of,"aan hunne gemagtigden, tot den",#+ NL-HaNA_1.04.02_10012_0289.xml,ge„ „schieden aan de,"aan hunne gemagtigden, tot den ont„ „vangst bij eene Notarieele"
Notarieele,of,ge„ „rechtelijk gepasseerde prokuraat„ „sie,#+ NL-HaNA_1.04.02_10012_0289.xml,ont„ „vangst bij eene,"ge„ „rechtelijk gepasseerde prokuraat„ „sie behoorlijk gequalificeerd, dit geheel onmoogelijk"
volmacht,of,voordragt daar van temaaken: hebben,#+ NL-HaNA_1.04.02_10012_0289.xml,om publique acten van,voordragt daar van temaaken: hebben we bij Resoluut„ „sie van
derzelve,of,aan hunne gemachtigden of erven;,#+ NL-HaNA_1.04.02_10012_0289.xml,geschieden aan de houders,aan hunne gemachtigden of erven; waar van we ook de
gemachtigden,of,erven; waar van we ook,#+ NL-HaNA_1.04.02_10012_0289.xml,"derzelve, of aan hunne",erven; waar van we ook de Hoog Achtbaa„ „re Heeren
een,of,"ander stuk, dat hem aan„",#+ NL-HaNA_1.04.02_10012_0294.xml,het inkoopen van het,"ander stuk, dat hem aan„ om „genaam konde zijn; en"
kombuis,of,de schaf„ „baaserij aan de,#+ NL-HaNA_1.04.02_10012_0298.xml,„gen was. T Militaire,"de schaf„ „baaserij aan de opunt de Briel, eene Reparaatsie"
min,of,meer 600. rd=s zouden kosten:,#+ NL-HaNA_1.04.02_10012_0302.xml,"kalk en steen opgehaald,","meer 600. rd=s zouden kosten: hebben we, volgens ons besluit"
voortzetten,of,"uitstellen van dit werk, teraade",#+ NL-HaNA_1.04.02_10012_0304.xml,"gerekommandeerd, om„ met 't","uitstellen van dit werk, teraade te gaan met de tegenswoordige"
bederven,of,ten minsten in zoo verre,#+ NL-HaNA_1.04.02_10012_0314.xml,"geborgen was, niet deeden","ten minsten in zoo verre in deugd doen verminderen, dat"
ontwaaring,of,"het zich, naar maate van",#+ NL-HaNA_1.04.02_10012_0315.xml,"doen oprobee „ren, ter","het zich, naar maate van deeze naadere zul „vering, beter"
lb:,of,24 1/5. p„s ting ontheven.,#+ NL-HaNA_1.04.02_10012_0315.xml,„lies gegeeven van 2702:,"24 1/5. p„s ting ontheven. die we, blijkens Resoluutsie van"
beoordeelen,of,ze wel gerafineerd is. §,#+ NL-HaNA_1.04.02_10012_0315.xml,"ver„ „toonen, om te",ze wel gerafineerd is. § 467: Op 't verzoek van
trouw,of,oplicht verzuijm: T Trinkenomaalsch opperhoofd,#+ NL-HaNA_1.04.02_10012_0321.xml,te verdenken van kwaade,"oplicht verzuijm: T Trinkenomaalsch opperhoofd van „verneur, een ronde gedaan"
54.,of,ƒ144. –. –. die in,#+ NL-HaNA_1.04.02_10012_0323.xml,te stellen voor rd=s,ƒ144. –. –. die in het boek„ „jaar 177 8/9
g'elucideerd,of,de vergunning„ vermeld bij 't,#+ NL-HaNA_1.04.02_10012_0331.xml,worden „pens zeekere verginning:,de vergunning„ vermeld bij 't ontvangen extrakt Patriasche Missive van
Militairen„,of,ze hun eerste verband hebben,#+ NL-HaNA_1.04.02_10012_0331.xml,om aan de gemeene,"ze hun eerste verband hebben uitgediend dan niet, al het"
min,of,"meer 700. Lasten uitmaakt, konnen",#+ NL-HaNA_1.04.02_10012_0333.xml,"van dit artikel, dat","meer 700. Lasten uitmaakt, konnen wij onzen Eisch niet schikken"
Japanica,of,catechie 142. p=s balken Transporteere.,#+ NL-HaNA_1.04.02_10012_0334.xml,Calabaina tien „ terra,catechie 142. p=s balken Transporteere. 503. - „ 5000 —
goud,of,zilvergeld moeten worden be„ „„taald;,#+ NL-HaNA_1.04.02_10012_0336.xml,"koomen, die anders met",zilvergeld moeten worden be„ „„taald; en we verzoeken mitsdien nedrig
Nigombo,of,"Silauw heeft onthouden, heeft abusive",#+ NL-HaNA_1.04.02_10012_0338.xml,"terug gekeerd, maar zichte","Silauw heeft onthouden, heeft abusive geduurig huijshuur, blijven genieten. We"
kanneel,of,"ander nuttige pro„ „ducten, na",#+ NL-HaNA_1.04.02_10012_0347.xml,oplanten van een partij,"ander nuttige pro„ „ducten, na maate van een elks gele„"
Composita¬,of,"toeberijdingen van middelen, die hier",#+ NL-HaNA_1.04.02_10012_0348.xml,te Zijn bij alle,"toeberijdingen van middelen, die hier in den apotheek worden aangemaakt,"
gekommitteerdens,of,ten min„ „sten van twee,#+ NL-HaNA_1.04.02_10012_0348.xml,presentsie van voornoem¬ „de,"ten min„ „sten van twee derzelven, zoo som„ „tijds een"
ziekte,of,"andere wettige beletzelen, mogte verhinderd",#+ NL-HaNA_1.04.02_10012_0348.xml,"een van hun, door","andere wettige beletzelen, mogte verhinderd worden, daar bij tegens¬ „woordig"
„meester,of,een ander bequaam on„ „dermeester,#+ NL-HaNA_1.04.02_10012_0349.xml,"worden ontweeken, de verband",een ander bequaam on„ „dermeester daar bij zal moeten as„
ervaring,of,'er ook nog andere Com¬,#+ NL-HaNA_1.04.02_10012_0349.xml,"bericht overgegeeven, ter vervolg","'er ook nog andere Com¬ „positas zijn, die eenige verandering'"
verandering',of,"verbeetering noodig hebben, bij voorm:t",#+ NL-HaNA_1.04.02_10012_0349.xml,"„positas zijn, die eenige","verbeetering noodig hebben, bij voorm:t onze Resoluutsie van den 9."
opgeeven,of,'er in de Com¬ „positas,#+ NL-HaNA_1.04.02_10012_0349.xml,moeten onder„ zoeken en,"'er in de Com¬ „positas die vermeld, zijn bij de"
opgeeven,of,"Ze dezelve hebben bevonden, overeenkomstig",#+ NL-HaNA_1.04.02_10012_0350.xml,een schrif„ „telijk berigt,"Ze dezelve hebben bevonden, overeenkomstig te zijn met de benodigdheeden,"
veel,of,tewijnig gevraagd is. §: 537.,#+ NL-HaNA_1.04.02_10012_0350.xml,gedachten daar van te,"tewijnig gevraagd is. §: 537. Wijl 't Materiaals volk, of"
volk,of,"eigentlijk de gekondemneerden, op verscheijde",#+ NL-HaNA_1.04.02_10012_0350.xml,537. Wijl 't Materiaals,"eigentlijk de gekondemneerden, op verscheijde plaatsen, als op de waterpadies"
kompenie,of,"de geene, welke haar in",#+ NL-HaNA_1.04.02_10012_0352.xml,"om aantewijzen, dat de","de geene, welke haar in Indien repre„ „senteeren, een volkoomen"
Gouverneur,of,eenig ander opperbestier„ „der van,#+ NL-HaNA_1.04.02_10012_0352.xml,"de maatschappij, noch eenig",eenig ander opperbestier„ „der van minderen aang die op haare
kunnen,of,"moogen hebben, dan om ter",#+ NL-HaNA_1.04.02_10012_0353.xml,een ander wil zal,"moogen hebben, dan om ter plaat„ „ze, waar zich bevind"
hoofd,of,"Chef van 's komp=s troepen,",#+ NL-HaNA_1.04.02_10012_0353.xml,waar zich bevind een,"Chef van 's komp=s troepen, alle 't Zij regimenten; bataillons,"
kompagnien,of,"bezondere officieren en gemeenen, die",#+ NL-HaNA_1.04.02_10012_0353.xml,"'t Zij regimenten; bataillons,","bezondere officieren en gemeenen, die tot voorsz: troepen behooren, in"
doen,of,"te laaten doen, hoe ge„",#+ NL-HaNA_1.04.02_10012_0354.xml,geene rapporten behoeven te,"te laaten doen, hoe ge„ „naamd, doch dat het uijt"
doen,of,naar maate van de omstan„,#+ NL-HaNA_1.04.02_10012_0358.xml,en Chef zoude moeten,"naar maate van de omstan„ digheeden laaten doen, alle zodanige"
eene,of,andere zijde eenige onzeekerheid scheen,#+ NL-HaNA_1.04.02_10012_0359.xml,niet altoos aan de,andere zijde eenige onzeekerheid scheen over te blijven: zoo hebben
rd:s,of,"daar omtrent, om de „ven",#+ NL-HaNA_1.04.02_10012_0363.xml,een douceur van tien,"daar omtrent, om de „ven daar door temeer te soulageeren."
even,of,"zij zelven dit soulaas, op",#+ NL-HaNA_1.04.02_10012_0363.xml,"beste „ling te doen,","zij zelven dit soulaas, op onze approbaatsie en voor zoo"
Theuver,of,"vorst van maraua, intusschen hebben",#+ NL-HaNA_1.04.02_10012_0366.xml,de afweesigheid van den,"vorst van maraua, intusschen hebben de bedienden ons zeederd bedeeld,"
dienen,of,niet eenige van die wagt,#+ NL-HaNA_1.04.02_10012_0373.xml,van hunne konsideraatsien te,"niet eenige van die wagt posten zouden kunnen worden ingetrokken,"
geen,of,zeer wijnig voordeel aanbragten: bij,#+ NL-HaNA_1.04.02_10012_0374.xml,"belang waaren, en genoegzaam",zeer wijnig voordeel aanbragten: bij Resoluutsie van den 9=e 8ber:
weeten,of,het van uw waaren. Hoog,#+ NL-HaNA_1.04.02_10012_0374.xml,"voortgaan, tot dat we",het van uw waaren. Hoog #+ ---
Maij,of,"onzen gedaanen voordragt gem: kriekenbeek,",#+ NL-HaNA_1.04.02_10012_0387.xml,missive van den 1e.,"onzen gedaanen voordragt gem: kriekenbeek, I. 59. gelie ven te"
geeven,of,hoogst deselve somtijds mogten goedvinden,#+ NL-HaNA_1.04.02_10012_0394.xml,deese aanbieding kennis te,hoogst deselve somtijds mogten goedvinden om daar van gebruijk te
Bevindings,of,Rendementen van de in anno,#+ NL-HaNA_1.04.02_10012_0410.xml,„ 56: Twee kopia,Rendementen van de in anno passato afgeloopene N:o 54: Specifikaatie
Bannelingen,of,"staat, met aantooning van „peer",#+ NL-HaNA_1.04.02_10012_0413.xml,van het getal der,"staat, met aantooning van „peer dezelve aangekomen e en wat"
aanreekening,of,"aanschrijvens, aangebragt 14. vaten met",#+ NL-HaNA_1.04.02_10013_0014.xml,"zijn hier, zonder eenige","aanschrijvens, aangebragt 14. vaten met kopere duiten, dewelke ingehouden hebben"
duijten,of,ƒ 7099. 9. ¼. nederlands,#+ NL-HaNA_1.04.02_10013_0014.xml,ingehouden hebben 11359. 14.,"ƒ 7099. 9. ¼. nederlands geld, die we, volgens onse"
overneemen,of,"met 30. p:r C:o advans,",#+ NL-HaNA_1.04.02_10013_0015.xml,de geheele quantiteijd wilde,"met 30. p:r C:o advans, zoo men maar de helfte"
helfte,of,een elerde van de paalij,#+ NL-HaNA_1.04.02_10013_0015.xml,zoo men maar de,"een elerde van de paalij begeerd, doch bij enkelde stukken"
erven,of,"gemachtigden, bij procuratie daar toe",#+ NL-HaNA_1.04.02_10013_0020.xml,kooplieden te Amsterdam hunne,"gemachtigden, bij procuratie daar toe behoorlijk gequalificeerd, zoo gebruijkerm 4611."
Erven,of,gemagtigdens tot den ontvangst bij,#+ NL-HaNA_1.04.02_10013_0020.xml,"aan de natemeldenen, hunne",gemagtigdens tot den ontvangst bij eene Natarieele of geregtelijk gepasseerde
Natarieele,of,geregtelijk gepasseerde Procuratie behoorlijk gequa„,#+ NL-HaNA_1.04.02_10013_0020.xml,den ontvangst bij eene,geregtelijk gepasseerde Procuratie behoorlijk gequa„ lificeerd weder uijtgekeerd en voldaan
zelfs,of,bij overlijden aan Frans August,#+ NL-HaNA_1.04.02_10013_0020.xml,willem Lowe aan hem,bij overlijden aan Frans August Lodewijk Lowe woonagtig te Homburg
Maijn,of,bij overlijden aan de kinderen,#+ NL-HaNA_1.04.02_10013_0020.xml,bij Trankfoort aan de,bij overlijden aan de kinderen of naaste Erven van deselve
kinderen,of,naaste Erven van deselve met,#+ NL-HaNA_1.04.02_10013_0020.xml,bij overlijden aan de,naaste Erven van deselve met - - - „ 12788.
ongerief,of,"nadeel in den handel, heeft",#+ NL-HaNA_1.04.02_10013_0021.xml,"naaugenoomen, als zon„ der","nadeel in den handel, heeft konnen ge„ schieden wij insereeren"
soopjes,of,randzoentjes glaasjes 150. „ een,#+ NL-HaNA_1.04.02_10013_0022.xml,„ twee Honderd „,randzoentjes glaasjes 150. „ een honderd vijftig p. s groen
blaauw,of,vloei „ 700. —. „,#+ NL-HaNA_1.04.02_10013_0023.xml,- - - „,vloei „ 700. —. „ een honderd p:s verwkasten in
Hellenbroek,of,van Beuas 10. „ tien,#+ NL-HaNA_1.04.02_10013_0024.xml,p:s kortbegaip vragen van,van Beuas 10. „ tien p:s Christens reize 5. -
—:,of,flaamsch liernen „ een duijsend,#+ NL-HaNA_1.04.02_10013_0024.xml,everdoek „ Smabl d=o,flaamsch liernen „ een duijsend 1000. „ hollands zeildoek ligt
min,of,"meer 7000 koppen, de kompleete",#+ NL-HaNA_1.04.02_10013_0028.xml,subalterne kantooren gereekend op,"meer 7000 koppen, de kompleete voldoening van de hier nevens"
ligt,off,hemels blauw Vijfentwintig C:o bestistaliaansch,#+ NL-HaNA_1.04.02_10013_0028.xml,„ d=o d=o „,hemels blauw Vijfentwintig C:o bestistaliaansch zwart fluweel Vijftig C o
soopjes,of,randzoentjes glaasjes kleine soort driehonderd,#+ NL-HaNA_1.04.02_10013_0028.xml,leer „ Vijfhonderd p:s,"randzoentjes glaasjes kleine soort driehonderd „ lanksoglazen, van middelmaatige groote"
